order_id,order_date,customer_id,product_id,quantity,unit_price,channel,status
O-9001,2026-01-04,C-001,P-1001,2,79.00,web,delivered
O-9002,2026-01-06,C-002,P-1007,3,24.00,retail,delivered
O-9003,2026-01-09,C-003,P-1003,1,129.00,web,delivered
O-9004,2026-01-14,C-004,P-1004,4,149.00,partner,shipped
O-9005,2026-01-18,C-005,P-1005,2,68.00,web,delivered
O-9006,2026-01-21,C-006,P-1006,5,42.00,retail,delivered
O-9007,2026-01-29,C-007,P-1008,6,36.00,partner,delivered
O-9008,2026-02-02,C-008,P-1002,1,54.00,web,cancelled
O-9009,2026-02-08,C-001,P-1007,2,24.00,web,delivered
O-9010,2026-02-13,C-002,P-1003,1,129.00,web,returned
O-9011,2026-02-16,C-003,P-1005,3,68.00,retail,delivered
O-9012,2026-02-22,C-004,P-1001,4,79.00,partner,delivered
O-9013,2026-03-01,C-005,P-1004,1,149.00,web,shipped
O-9014,2026-03-03,C-006,P-1008,2,36.00,web,delivered
O-9015,2026-03-07,C-007,P-1006,8,42.00,partner,delivered
O-9016,2026-03-11,C-008,P-1003,1,129.00,retail,delivered
O-9017,2026-03-14,C-001,P-1005,1,68.00,web,delivered
O-9018,2026-03-19,C-003,P-1002,4,54.00,partner,processing
O-9019,2026-03-25,C-006,P-1001,2,79.00,web,delivered
O-9020,2026-03-29,C-004,P-1007,10,24.00,partner,delivered
